[2026-04-29T00:51:05.526Z] GET http://localhost:8080/ → 200 (13ms, 106287B)
[2026-04-29T00:51:05.551Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@500;700;900&family=Space+Grotesk:wght@300;400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (333ms, 11498B)
[2026-04-29T00:51:05.940Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (287ms, 31340B)
[2026-04-29T00:51:05.940Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (262ms, 11768B)
[2026-04-29T00:51:05.940Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (262ms, 22320B)
[2026-04-29T00:51:55.722Z] GET http://localhost:8080/ → 200 (9ms, 106287B)
[2026-04-29T00:51:55.789Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@500;700;900&family=Space+Grotesk:wght@300;400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, 11498B)
[2026-04-29T00:51:55.798Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-29T00:51:55.798Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
[2026-04-29T00:51:55.798Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, ?B)
[2026-04-29T00:52:14.623Z] GET http://localhost:8080/ → 200 (2ms, 106287B)
[2026-04-29T00:52:14.678Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@500;700;900&family=Space+Grotesk:wght@300;400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, 11498B)
[2026-04-29T00:52:14.705Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-29T00:52:14.706Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
[2026-04-29T00:52:14.707Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (1ms, ?B)
[2026-04-29T00:52:56.995Z] GET http://localhost:8080/ → 200 (5ms, 106287B)
[2026-04-29T00:52:57.045Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@500;700;900&family=Space+Grotesk:wght@300;400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, 11498B)
[2026-04-29T00:52:57.054Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-29T00:52:57.054Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
[2026-04-29T00:52:57.056Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, ?B)
